seqnames,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS
chr11,32283249,32284930,1682,*,4403.87636377677,-7.26048476736061,0.20086975721741,-36.1452359376444,4.42024727133198e-286,3.95877345620493e-281,Promoter (<=1kb),11,32283511,32284465,955,1,15122,ENSMUST00000093209.3,0
chr7,103827117,103828252,1136,*,3931.8790007257,-6.37788708768604,0.191897123173814,-33.2359703063874,3.25568947989521e-242,4.85965916365692e-238,Promoter (<=1kb),7,103826534,103827928,1395,2,15129,ENSMUST00000023934.7,0
chr11,32296067,32297681,1615,*,4190.42809275308,-7.15355911305233,0.21854933740439,-32.7320100715557,5.47492805312275e-235,7.00477937768105e-231,Promoter (<=1kb),11,32296489,32297298,810,1,15122,ENSMUST00000093207.3,0
chr11,32250589,32251648,1060,*,3597.45680515727,-7.52106586004311,0.232821005747185,-32.3040691105426,6.13251665362636e-229,6.86535239373471e-225,Promoter (<=1kb),11,32247779,32250278,2500,2,17168,ENSMUST00000127657.1,-311
chr7,103813170,103814162,993,*,2793.61206418506,-6.12682034962178,0.196159563501309,-31.2338600283482,3.69835159048813e-214,3.01113062221924e-210,Promoter (<=1kb),7,103812524,103813996,1473,2,101488143,ENSMUST00000098192.3,0
chr7,100466939,100467820,882,*,5036.78664820426,-6.05228158394219,0.194166838217164,-31.1705213903368,2.67415159072236e-213,1.99580847054246e-209,Promoter (1-2kb),7,100465407,100470152,4746,1,277939,ENSMUST00000208018.1,1532
chr2,121036500,121037462,963,*,3468.94034923084,-6.49091633229909,0.2163217293524,-30.0058452367724,8.23326832093996e-198,2.63346968151208e-194,Promoter (<=1kb),2,121017891,121037072,19182,2,13828,ENSMUST00000102490.9,0
chr17,25942539,25943580,1042,*,2522.72169022329,-6.555663690644,0.219577785280692,-29.8557692539968,7.38839969202471e-196,2.28174164281977e-192,Promoter (<=1kb),17,25926427,25942823,16397,2,14755,ENSMUST00000208043.1,0
chr9,108079139,108080562,1424,*,3380.81817225519,-5.87480890405656,0.197067040759518,-29.8112199859215,2.79512364746691e-195,8.34437579557121e-192,Promoter (<=1kb),9,108080436,108085003,4568,1,15235,ENSMUST00000035211.13,0
chr19,4558099,4559342,1244,*,3344.24106315662,-6.95430324012628,0.233734972393219,-29.7529426979668,1.58861502787169e-194,4.44613630925588e-191,Promoter (<=1kb),19,4558810,4602021,43212,1,18563,ENSMUST00000236457.1,0
chr11,85803888,85804631,744,*,1847.65722826558,-7.79539031998551,0.263332624099192,-29.6028277797025,1.37414599858243e-192,3.61966222450124e-189,Promoter (<=1kb),11,85795875,85804155,8281,2,69909,ENSMUST00000128213.1,0
chr11,102364600,102365546,947,*,2052.42723675136,-8.6279051245291,0.300991905219196,-28.6649075105387,1.0451674482057e-180,1.5600866110217e-177,Promoter (<=1kb),11,102348824,102365280,16457,2,20533,ENSMUST00000006749.9,0
chr11,116533798,116534505,708,*,2396.45157989079,-5.80839212567954,0.203225325828803,-28.5810447196553,1.1559441801544e-179,1.61759938710356e-176,Promoter (<=1kb),11,116534160,116535288,1129,1,20698,ENSMUST00000148185.1,0
chr19,5665404,5665945,542,*,1870.33631746177,-6.00167512336221,0.212921571365426,-28.1872573308312,8.37907320786999e-175,1.00057306199578e-171,Promoter (<=1kb),19,5665236,5666198,963,2,104401,ENSMUST00000124905.1,253
chr11,75926301,75927354,1054,*,2566.39486346501,-5.28604431439818,0.18829615247935,-28.0730341262702,2.09118909679403e-173,2.40111404498555e-170,Promoter (<=1kb),11,75899726,75925891,26166,2,380714,ENSMUST00000021208.10,-410
chr17,24902612,24903500,889,*,1778.82603746528,-6.34127836421791,0.226372821344392,-28.0125428775331,1.14298436551922e-172,1.26377382439385e-169,Promoter (<=1kb),17,24901818,24903081,1264,2,30957,ENSMUST00000145357.1,0
chr13,101545641,101546312,672,*,2049.91481475009,-6.11762266368706,0.219919473518788,-27.8175577896899,2.66035140486947e-170,2.64734524244567e-167,Intron (ENSMUST00000224257.1/ENSMUST00000224257.1, intron 1 of 1),13,101690135,101692343,2209,2,18708,ENSMUST00000190171.1,146031
chr5,23922432,23924240,1809,*,6635.69872474638,-5.22971677210633,0.188858809106621,-27.6911455538931,8.92544080029741e-169,8.41434187446985e-166,Promoter (<=1kb),5,23915276,23922904,7629,2,84652,ENSMUST00000126828.1,0
chr8,84838349,84839052,704,*,1680.53486301987,-7.16458188412248,0.259499359188518,-27.6092469227165,8.61744041729921e-168,7.95647385333317e-165,Promoter (<=1kb),8,84837722,84838666,945,2,19358,ENSMUST00000134395.7,0
chr17,28823030,28824176,1147,*,2591.35469649766,-6.51927691082186,0.24072468430015,-27.0818795744821,1.60975867875449e-161,1.25365206321089e-158,Promoter (<=1kb),17,28823572,28836854,13283,1,268936,ENSMUST00000140587.8,0
chr9,44342200,44342977,778,*,1854.07710112076,-6.63112368547227,0.245711580852195,-26.9874283600053,2.07599239675909e-160,1.54938232544787e-157,Promoter (<=1kb),9,44336352,44342381,6030,2,15288,ENSMUST00000097558.4,0
chr4,135985167,135985660,494,*,1213.35019104788,-6.38980489543825,0.238912323538057,-26.7453968083836,1.39680504976869e-157,9.54945498147205e-155,Promoter (<=1kb),4,135976066,135985938,9873,2,66193,ENSMUST00000150885.7,278
chr6,83351550,83352373,824,*,2465.55946545595,-6.73448728967303,0.251876684832781,-26.7372396700553,1.73780764528152e-157,1.1702109226422e-154,Promoter (<=1kb),6,83352095,83358333,6239,1,78653,ENSMUST00000134765.1,0
chr7,80208596,80209507,912,*,4390.6731225061,-4.87923558890218,0.182493323898669,-26.7365155319952,1.77182935031738e-157,1.18421669115242e-154,Exon (ENSMUST00000206885.1/ENSMUST00000206885.1, exon 1 of 1),7,80198536,80214065,15530,1,20352,ENSMUST00000123023.2,10060
chr14,70707837,70708353,517,*,1160.39389781129,-6.96229620929294,0.260535180571331,-26.7230559574535,2.54031027796043e-157,1.67286903304512e-154,Promoter (<=1kb),14,70664841,70708035,43195,2,65246,ENSMUST00000228346.1,0
chr6,83038367,83039224,858,*,2023.50637775189,-5.14917001130437,0.192958048784516,-26.6854378127271,6.94662011171278e-157,4.5082557768478e-154,Promoter (<=1kb),6,83038400,83045096,6697,1,16950,ENSMUST00000204318.1,0
chr14,55542202,55542701,500,*,1535.89885061389,-7.68283063701697,0.288031468888469,-26.6735807259724,9.53567157384939e-157,6.14399097952483e-154,Promoter (<=1kb),14,55542401,55548848,6448,1,74551,ENSMUST00000228240.1,0
chr11,59164201,59164840,640,*,1730.26387286088,-5.83476082194034,0.220906377317884,-26.41282199628,9.76155959041358e-154,5.75161366393053e-151,Promoter (<=1kb),11,59155369,59163739,8371,2,216792,ENSMUST00000054523.5,-462
chr5,139389582,139390251,670,*,1367.48722000897,-6.60168232366776,0.250841355282929,-26.3181576108995,1.18855121145192e-152,6.78004117819325e-150,Promoter (<=1kb),5,139389785,139396414,6630,1,80290,ENSMUST00000100514.2,0
chr9,66157804,66159452,1649,*,1496.47654606986,-5.49651529372075,0.209704961111477,-26.2107070075413,2.00643283780614e-151,1.10923533922172e-148,Promoter (<=1kb),9,66158223,66272242,114020,1,13143,ENSMUST00000034944.8,0
chr11,83286264,83287055,792,*,1466.21355266186,-5.466765912632,0.209230646610081,-26.1279406301304,1.75569894092104e-150,9.35954744933857e-148,Promoter (<=1kb),11,83275110,83286726,11617,2,237890,ENSMUST00000163961.2,0
chr10,93890999,93891404,406,*,1156.02494599621,-6.77914506686951,0.259569473323916,-26.1168810802718,2.34477929919514e-150,1.24259428423619e-147,Promoter (<=1kb),10,93860928,93891202,30275,2,56307,ENSMUST00000180840.7,0
chr4,129463461,129464615,1155,*,3029.17646748765,-6.3285450926063,0.242691869187934,-26.0764611265392,6.7433838926503e-150,3.47090495072276e-147,Promoter (<=1kb),4,129464542,129465542,1001,1,100383,ENSMUST00000153591.1,0
