"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"1","GO:0045087","innate immune response",533,533,533,"4.1e-11"
"2","GO:0050830","defense response to Gram-positive bacterium",69,69,69,"7.0e-10"
"3","GO:0006954","inflammatory response",520,520,520,"1.7e-08"
"4","GO:0050829","defense response to Gram-negative bacterium",41,41,41,"2.5e-08"
"5","GO:0019731","antibacterial humoral response",31,31,31,"2.5e-07"
"6","GO:0006335","DNA replication-dependent nucleosome assembly",31,31,31,"1.6e-06"
"7","GO:0045653","negative regulation of megakaryocyte differentiation",16,16,16,"2.0e-06"
"8","GO:0002377","immunoglobulin production",130,130,130,"2.7e-06"
"9","GO:0051897","positive regulation of protein kinase B signaling",82,82,82,"3.1e-06"
"10","GO:0006334","nucleosome assembly",85,85,85,"6.7e-06"
"11","GO:0006911","phagocytosis, engulfment",70,70,70,"6.8e-06"
"12","GO:0002227","innate immune response in mucosa",16,16,16,"9.6e-06"
"13","GO:0050853","B cell receptor signaling pathway",60,60,60,"1.4e-05"
"14","GO:0045766","positive regulation of angiogenesis",134,134,134,"1.8e-05"
"15","GO:0032689","negative regulation of interferon-gamma production",27,27,27,"2.0e-05"
"16","GO:0032729","positive regulation of interferon-gamma production",63,63,63,"2.8e-05"
"17","GO:0035458","cellular response to interferon-beta",42,42,42,"3.0e-05"
"18","GO:0070374","positive regulation of ERK1 and ERK2 cascade",139,139,139,"3.5e-05"
"19","GO:0042832","defense response to protozoan",31,31,31,"0.00017"
"20","GO:0030593","neutrophil chemotaxis",71,71,71,"0.00018"
"21","GO:0006336","DNA replication-independent nucleosome assembly",27,27,27,"0.00026"
"22","GO:0019722","calcium-mediated signaling",152,152,152,"0.00031"
"23","GO:0050766","positive regulation of phagocytosis",64,64,64,"0.00033"
"24","GO:0032743","positive regulation of interleukin-2 production",28,28,28,"0.00038"
"25","GO:1901165","positive regulation of trophoblast cell migration",6,6,6,"0.00039"
"26","GO:0035023","regulation of Rho protein signal transduction",118,118,118,"0.00045"
"27","GO:0042742","defense response to bacterium",173,173,173,"0.00045"
"28","GO:0001657","ureteric bud development",57,57,57,"0.00046"
"29","GO:0007155","cell adhesion",942,942,942,"0.00046"
"30","GO:0050871","positive regulation of B cell activation",95,95,95,"0.00047"
"31","GO:0032753","positive regulation of interleukin-4 production",20,20,20,"0.00055"
"32","GO:0043315","positive regulation of neutrophil degranulation",4,4,4,"0.00056"
"33","GO:0008360","regulation of cell shape",133,133,133,"0.00058"
"34","GO:0002317","plasma cell differentiation",5,5,5,"0.00061"
"35","GO:0030890","positive regulation of B cell proliferation",40,40,40,"0.00076"
"36","GO:0042908","xenobiotic transport",20,20,20,"0.00079"
"37","GO:0060070","canonical Wnt signaling pathway",205,205,205,"0.00081"
"38","GO:0043524","negative regulation of neuron apoptotic process",127,127,127,"0.00082"
"39","GO:0051092","positive regulation of NF-kappaB transcription factor activity",128,128,128,"0.00087"
"40","GO:0090050","positive regulation of cell migration involved in sprouting angiogenesis",18,18,18,"0.00096"
"41","GO:0032675","regulation of interleukin-6 production",124,124,124,"0.00101"
"42","GO:0045947","negative regulation of translational initiation",14,14,14,"0.00106"
"43","GO:0050728","negative regulation of inflammatory response",114,114,114,"0.00113"
"44","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway",415,415,415,"0.00129"
"45","GO:1902895","positive regulation of pri-miRNA transcription by RNA polymerase II",39,39,39,"0.00129"
"46","GO:0006910","phagocytosis, recognition",29,29,29,"0.00130"
"47","GO:0045589","regulation of regulatory T cell differentiation",27,27,27,"0.00131"
"48","GO:2000510","positive regulation of dendritic cell chemotaxis",6,6,6,"0.00132"
"49","GO:0042102","positive regulation of T cell proliferation",81,81,81,"0.00146"
"50","GO:0071222","cellular response to lipopolysaccharide",140,140,140,"0.00151"
"51","GO:0008584","male gonad development",79,79,79,"0.00153"
"52","GO:0032740","positive regulation of interleukin-17 production",13,13,13,"0.00158"
"53","GO:0000470","maturation of LSU-rRNA",28,28,28,"0.00172"
"54","GO:0009617","response to bacterium",445,445,445,"0.00175"
"55","GO:0045944","positive regulation of transcription by RNA polymerase II",903,903,903,"0.00179"
"56","GO:0032715","negative regulation of interleukin-6 production",39,39,39,"0.00188"
"57","GO:0070244","negative regulation of thymocyte apoptotic process",8,8,8,"0.00195"
"58","GO:0045665","negative regulation of neuron differentiation",178,178,178,"0.00197"
"59","GO:0014002","astrocyte development",30,30,30,"0.00202"
"60","GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide",40,40,40,"0.00204"
"61","GO:0051482","positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled sign...",26,26,26,"0.00208"
"62","GO:0030261","chromosome condensation",36,36,36,"0.00217"
"63","GO:0090103","cochlea morphogenesis",11,11,11,"0.00219"
"64","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",24,24,24,"0.00231"
"65","GO:0045668","negative regulation of osteoblast differentiation",35,35,35,"0.00233"
"66","GO:0045578","negative regulation of B cell differentiation",4,4,4,"0.00238"
"67","GO:0072006","nephron development",89,89,89,"0.00252"
"68","GO:0048535","lymph node development",25,25,25,"0.00265"
"69","GO:0002250","adaptive immune response",344,344,344,"0.00273"
"70","GO:0032727","positive regulation of interferon-alpha production",22,22,22,"0.00287"
"71","GO:0030216","keratinocyte differentiation",60,60,60,"0.00299"
"72","GO:0043065","positive regulation of apoptotic process",526,526,526,"0.00308"
"73","GO:0042632","cholesterol homeostasis",62,62,62,"0.00316"
"74","GO:0048546","digestive tract morphogenesis",26,26,26,"0.00327"
"75","GO:0042493","response to drug",151,151,151,"0.00328"
