seqnames,start,end,width,strand,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,annotation,geneChr,geneStart,geneEnd,geneLength,geneStrand,geneId,transcriptId,distanceToTSS
chr18,89176521,89177444,924,*,233.706494088502,-2.72318446467221,0.26405736954772,-10.3128515948504,6.16445689258982e-25,1.26374233487344e-21,Promoter (<=1kb),18,89176967,89270201,93235,1,225825,ENSMUST00000235651.1,0
chr3,101407463,101407970,508,*,140.228212443666,3.07745051227978,0.301003166221082,10.2239805345417,1.54848639106102e-24,2.90430153925129e-21,Exon (ENSMUST00000197514.1/ENSMUST00000197514.1, exon 1 of 1),3,101378338,101460156,81819,1,78908,ENSMUST00000195164.1,29125
chr19,42743957,42745274,1318,*,394.361971590227,-1.92969574145818,0.197728587772828,-9.75931585408994,1.68286617147165e-22,2.31793779293076e-19,Intron (ENSMUST00000076505.3/74580, intron 4 of 15),19,42726644,42752472,25829,2,74580,ENSMUST00000235183.1,7198
chr6,112274213,112274702,490,*,241.733609697823,2.15071535230957,0.222497705685046,9.66623608853745,4.19524370022637e-22,5.43851650974052e-19,Promoter (<=1kb),6,112273758,112330425,56668,1,30937,ENSMUST00000032376.5,455
chr7,66043626,66044392,767,*,111.454316010402,3.25350952658093,0.338630551212248,9.60784404990583,7.40838912223263e-22,9.07033774865348e-19,Promoter (<=1kb),7,66043602,66062271,18670,1,18553,ENSMUST00000206065.1,24
chr18,37264753,37265370,618,*,133.033119843732,2.68135124627083,0.303288201010361,8.84093491714581,9.49209418813838e-19,7.0314881249813e-16,Promoter (<=1kb),18,37264938,37267525,2588,1,93872,ENSMUST00000052366.4,0
chr18,65837232,65837536,305,*,8182.9818873369,1.18420705275255,0.135365586927761,8.74821348342039,2.16756908706811e-18,1.45859198597884e-15,Exon (ENSMUST00000236915.1/ENSMUST00000236915.1, exon 1 of 1),18,65814637,65817660,3024,1,66286,ENSMUST00000235765.1,22595
chr17,93680592,93680868,277,*,1710.23977799668,1.35989711320643,0.160161376281045,8.49079312867624,2.05231610725779e-17,1.08985403305415e-14,Exon (ENSMUST00000234106.1/ENSMUST00000234106.1, exon 1 of 1),17,93202076,93205563,3488,1,11516,ENSMUST00000234204.1,478516
chr1,58210243,58211018,776,*,242.716954141254,1.86125287950372,0.225349718280051,8.25939740998774,1.46409706364431e-16,6.72203564345694e-14,Promoter (<=1kb),1,58210397,58268597,58201,1,71872,ENSMUST00000040442.5,0
chr5,125419108,125419521,414,*,87.8482465157909,3.09723758886016,0.378373943596171,8.18565242474986,2.70832354277082e-16,1.17607949232676e-13,Promoter (<=1kb),5,125416300,125418849,2550,2,208144,ENSMUST00000196444.1,-259
chr14,99943092,99943642,551,*,153.22876695232,2.25245000252095,0.277471390659143,8.11777386191122,4.7481247050219e-16,1.99312709046233e-13,Promoter (<=1kb),14,99900201,99943708,43508,2,16597,ENSMUST00000226205.1,66
chr5,90608560,90609302,743,*,124.830381512303,-2.91188329981442,0.358930016866795,-8.11267702053202,4.95165591626381e-16,2.0687126650734e-13,Promoter (<=1kb),5,90603623,90609801,6179,2,73246,ENSMUST00000202807.1,499
chr2,4467020,4467923,904,*,126.220971955723,-3.09783747197949,0.381942038417328,-8.11075283782888,5.03070918346021e-16,2.08744340640753e-13,Intron (ENSMUST00000177457.7/209630, intron 3 of 24),2,4473194,4498103,24910,1,209630,ENSMUST00000123919.2,-5271
chr1,34752968,34753194,227,*,2006.58545465155,1.30229420409201,0.162552717055931,8.01151914085766,1.13300096816748e-15,4.38053953271489e-13,Promoter (2-3kb),1,34750581,34807144,56564,1,226970,ENSMUST00000159021.8,2387
chr19,53013735,53014354,620,*,126.480358660312,2.37158164102465,0.29889999684654,7.93436489141971,2.1157520346615e-15,7.70693278344962e-13,Promoter (<=1kb),19,53012182,53013604,1423,2,170750,ENSMUST00000182844.1,-131
chr8,85380500,85381362,863,*,250.043076812209,-1.79883044799588,0.230889986890238,-7.79085516970043,6.65571707921912e-15,2.2056946314561e-12,Promoter (<=1kb),8,85324447,85380978,56532,2,213435,ENSMUST00000122452.7,0
chr9,27298934,27299374,441,*,274.647000935035,1.61058920597638,0.207036909856456,7.77923707948039,7.29632145059156e-15,2.39994525564383e-12,Promoter (<=1kb),9,27299204,27357546,58343,1,235086,ENSMUST00000214357.1,0
chr8,60195661,60196000,340,*,58.9939069958688,3.74016193587453,0.486053928198281,7.69495259453753,1.41546643237931e-14,4.472265123552e-12,Exon (ENSMUST00000210900.1/ENSMUST00000210900.1, exon 1 of 6),8,60505932,60545677,39746,1,23923,ENSMUST00000079472.3,-309932
chr15,78771752,78772746,995,*,341.433676725091,1.51964048302897,0.200539096498545,7.57777665084872,3.5152687198624e-14,1.03155529062541e-11,Promoter (<=1kb),15,78766874,78771894,5021,2,17305,ENSMUST00000128389.1,0
chr16,62807442,62808237,796,*,79.2243847748865,2.83293785367298,0.380226244731881,7.45066363230829,9.28718719192681e-14,2.46591604018895e-11,Intron (ENSMUST00000089289.5/68146, intron 5 of 9),16,62795353,62802836,7484,2,68146,ENSMUST00000141665.1,-4606
chr1,118982400,118982825,426,*,128.03577402048,2.33888730801374,0.314481611725413,7.43727843157938,1.02780770865297e-13,2.71267380638252e-11,Promoter (<=1kb),1,118868042,118982588,114547,2,14633,ENSMUST00000159678.2,0
